Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	924
	Source Height	726
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1
	String ID	1

Transform	Opacity
	Frame	percent	
	31	0	
	59	0	
	60	100	
	84	100	
	85	0	
	88	0	
	89	100	
	109	100	
	110	0	
	113	0	
	114	100	
	118	100	
	119	0	
	148	0	
	149	100	
	166	100	
	167	0	
	213	0	
	214	100	
	217	100	
	218	0	
	281	0	
	282	100	
	285	100	
	286	0	
	346	0	
	347	100	
	350	100	
	351	0	
	410	0	
	411	100	
	414	100	
	415	0	
	477	0	
	478	100	
	481	100	
	482	0	
	544	0	
	545	100	
	548	100	
	549	0	
	607	0	
	608	100	
	611	100	
	612	0	
	671	0	
	672	100	
	675	100	
	676	0	
	705	0	
	706	100	
	709	100	
	710	0	
	721	0	
	722	100	
	725	100	
	726	0	
	736	0	
	737	100	
	740	100	
	741	0	
	752	0	
	753	100	
	756	100	
	757	0	
	769	0	
	770	100	
	773	100	
	774	0	
	786	0	
	787	100	
	790	100	
	791	0	
	802	0	
	803	100	
	806	100	
	807	0	
	819	0	
	820	100	
	823	100	
	824	0	
	839	0	
	840	100	
	842	100	
	843	0	
	847	0	
	848	100	
	850	100	
	851	0	
	856	0	
	857	100	
	859	100	
	860	0	
	864	0	
	865	100	
	867	100	
	868	0	
	871	0	
	872	100	
	874	100	
	875	0	
	879	0	
	880	100	
	882	100	
	883	0	
	887	0	
	888	100	
	890	100	
	891	0	
	895	0	
	896	100	
	898	100	
	899	0	
	903	0	
	904	100	
	906	100	
	907	0	
	911	0	
	912	100	
	914	100	
	915	0	
	920	0	
	921	100	
	923	100	
	924	0	
	928	0	
	929	100	
	931	100	
	932	0	
	935	0	
	936	100	
	938	100	
	939	0	
	943	0	
	944	100	
	946	100	
	947	0	
	951	0	
	952	100	
	954	100	
	955	0	
	959	0	
	960	100	
	962	100	
	963	0	
	968	0	
	969	100	
	971	100	
	972	0	
	976	0	
	977	100	
	979	100	
	980	0	
	984	0	
	985	100	
	987	100	
	988	0	
	992	0	
	993	100	
	995	100	
	996	0	
	1000	0	
	1001	100	
	1003	100	
	1004	0	
	1009	0	
	1010	100	
	1012	100	
	1013	0	
	1017	0	
	1018	100	
	1020	100	
	1021	0	
	1024	0	
	1025	100	
	1027	100	
	1028	0	
	1032	0	
	1033	100	
	1035	100	
	1036	0	
	1040	0	
	1041	100	
	1043	100	
	1044	0	
	1048	0	
	1049	100	
	1051	100	
	1052	0	
	1056	0	
	1057	100	
	1059	100	
	1060	0	
	1064	0	
	1065	100	
	1067	100	
	1068	0	
	1072	0	
	1073	100	
	1075	100	
	1076	0	
	1080	0	
	1081	100	
	1083	100	
	1084	0	
	1099	0	
	1100	100	
	1109	100	
	1110	0	
	1116	0	
	1117	100	
	1123	100	
	1124	0	
	1129	0	
	1130	100	
	1139	100	
	1140	0	
	1153	0	
	1154	100	
	1163	100	
	1164	0	
	1175	0	
	1176	100	
	1183	100	
	1184	0	
	1190	0	
	1191	100	
	1223	100	
	1224	0	
	1254	0	
	1255	100	
	1260	100	
	1261	0	
	1264	0	
	1265	100	
	1269	100	
	1270	0	
	1273	0	
	1274	100	
	1329	100	
	1330	0	
	1394	0	
	1395	100	
	1410	100	
	1411	0	
	1415	0	
	1416	100	
	1452	100	
	1453	0	
	1457	0	
	1458	100	
	1460	100	
	1461	0	
	1465	0	
	1466	100	
	1500	100	
	1501	0	
	1505	0	
	1506	100	
	1525	100	
	1526	0	
	1530	0	
	1531	100	
	1558	100	
	1559	0	
	1589	0	
	1590	100	
	1617	100	
	1618	0	
	1672	0	
	1673	100	
	1680	100	
	1681	0	
	1689	0	
	1690	100	
	1695	100	
	1696	0	
	1705	0	
	1706	100	
	1713	100	
	1714	0	
	1723	0	
	1724	100	
	1754	100	
	1755	0	
	1760	0	
	1761	100	
	1779	100	
	1780	0	
	1835	0	
	1836	100	
	1870	100	
	1871	0	
	1883	0	
	1884	100	
	1941	100	
	1942	0	
	1981	0	
	1982	100	
	2041	100	
	2042	0	
	2049	0	
	2050	100	
	2072	100	
	2073	0	
	2081	0	
	2082	100	
	2191	100	
	2192	0	
	2212	0	
	2213	100	
	2218	100	
	2219	0	
	2222	0	
	2223	100	
	2248	100	
	2249	0	
	2252	0	
	2253	100	
	2268	100	
	2269	0	
	2302	0	
	2303	100	
	2308	100	
	2309	0	
	2312	0	
	2313	100	
	2332	100	
	2333	0	
	2336	0	
	2337	100	
	2341	100	
	2342	0	
	2345	0	
	2346	100	
	2390	100	
	2391	0	
	2394	0	
	2395	100	
	2406	100	
	2407	0	
	2440	0	
	2441	100	
	2452	100	
	2453	0	
	2473	0	
	2474	100	
	2479	100	
	2480	0	
	2483	0	
	2484	100	
	2511	100	
	2512	0	
	2515	0	
	2516	100	
	2527	100	
	2528	0	
	2531	0	
	2532	100	
	2555	100	
	2556	0	
	2573	0	
	2574	100	
	2611	100	
	2612	0	
	2615	0	
	2616	100	
	2659	100	
	2660	0	
	2663	0	
	2664	100	
	2766	100	
	2767	0	
	2800	0	
	2801	100	
	2831	100	
	2832	0	
	2895	0	
	2896	100	
	2898	100	
	2899	0	
	2927	0	
	2928	100	
	2930	100	
	2931	0	
	2962	0	
	2963	100	
	2965	100	
	2966	0	
	3027	0	
	3028	100	
	3030	100	
	3031	0	
